iter	Passed	Remaining
0	14	71393
1	30	77173
2	49	82602
3	69	86558
4	80	80499
5	97	81107
6	114	81934
7	133	83509
8	151	83827
9	168	84031
10	187	85200
11	206	85737
12	224	86051
13	242	86443
14	261	87058
15	281	87649
16	289	84781
17	305	84689
18	313	82311
19	332	82769
20	350	83069
21	368	83279
22	386	83539
23	405	84104
24	423	84255
25	440	84331
26	457	84343
27	476	84579
28	508	87108
29	527	87333
30	544	87299
31	562	87337
32	580	87396
33	595	87049
34	615	87361
35	633	87345
36	650	87276
37	667	87184
38	691	87955
39	708	87904
40	726	87925
41	745	87994
42	763	87981
43	780	87957
44	799	88012
45	820	88324
46	839	88479
47	857	88433
48	874	88398
49	907	89827
50	930	90268
51	948	90257
52	967	90326
53	985	90241
54	1002	90113
55	1019	90011
56	1037	89997
57	1058	90180
58	1076	90161
59	1095	90159
60	1114	90223
61	1132	90237
62	1151	90254
63	1171	90384
64	1190	90354
65	1208	90363
66	1225	90263
67	1255	91032
68	1274	91092
69	1292	91036
70	1310	90995
71	1330	91069
72	1347	90969
73	1365	90929
74	1385	90991
75	1403	90920
76	1421	90865
77	1439	90842
78	1458	90873
79	1476	90807
80	1493	90721
81	1511	90640
82	1528	90571
83	1548	90597
84	1566	90559
85	1584	90565
86	1602	90472
87	1619	90384
88	1637	90342
89	1655	90305
90	1672	90213
91	1689	90138
92	1708	90133
93	1725	90067
94	1742	89955
95	1759	89878
96	1776	89793
97	1794	89778
98	1815	89857
99	1832	89813
100	1846	89549
101	1864	89535
102	1882	89482
103	1899	89402
104	1916	89346
105	1934	89307
106	1961	89713
107	1978	89638
108	1996	89602
109	2014	89558
110	2031	89469
111	2068	90259
112	2086	90229
113	2103	90166
114	2120	90093
115	2139	90069
116	2156	90010
117	2173	89911
118	2189	89818
119	2206	89735
120	2275	91734
121	2292	91650
122	2309	91576
123	2327	91512
124	2344	91440
125	2361	91364
126	2394	91881
127	2412	91839
128	2429	91739
129	2447	91682
130	2465	91620
131	2487	91738
132	2505	91683
133	2536	92098
134	2554	92052
135	2572	91998
136	2592	92007
137	2609	91936
138	2628	91918
139	2647	91889
140	2664	91806
141	2681	91728
142	2701	91744
143	2720	91733
144	2737	91657
145	2754	91586
146	2772	91543
147	2790	91499
148	2812	91575
149	2830	91535
150	2849	91497
151	2866	91432
152	2887	91468
153	2904	91400
154	2923	91390
155	2943	91393
156	2960	91319
157	2977	91262
158	2995	91195
159	3013	91149
160	3031	91102
161	3048	91045
162	3066	91008
163	3088	91079
164	3109	91121
165	3127	91083
166	3145	91043
167	3163	90979
168	3180	90911
169	3198	90887
170	3217	90857
171	3235	90816
172	3252	90754
173	3270	90720
174	3288	90675
175	3307	90661
176	3326	90646
177	3343	90578
178	3360	90515
179	3378	90473
180	3396	90437
181	3413	90373
182	3431	90316
183	3448	90257
184	3465	90209
185	3483	90159
186	3500	90097
187	3520	90105
188	3537	90053
189	3554	89991
190	3571	89928
191	3589	89883
192	3608	89877
193	3627	89866
194	3644	89808
195	3661	89744
196	3678	89680
197	3698	89687
198	3716	89658
199	3751	90041
200	3769	89997
201	3787	89951
202	3806	89952
203	3823	89890
204	3841	89846
205	3859	89807
206	3877	89773
207	3896	89774
208	3914	89728
209	3930	89663
210	3948	89616
211	3965	89570
212	3983	89518
213	4000	89461
214	4017	89420
215	4035	89384
216	4054	89361
217	4071	89314
218	4089	89281
219	4109	89278
220	4126	89238
221	4144	89206
222	4162	89161
223	4178	89099
224	4196	89054
225	4213	88998
226	4230	88959
227	4260	89161
228	4278	89148
229	4296	89098
230	4313	89050
231	4331	89011
232	4348	88958
233	4365	88920
234	4383	88874
235	4401	88854
236	4419	88819
237	4437	88794
238	4455	88755
239	4472	88708
240	4489	88655
241	4506	88612
242	4528	88647
243	4546	88620
244	4564	88595
245	4581	88545
246	4598	88497
247	4615	88443
248	4634	88425
249	4652	88391
250	4671	88386
251	4690	88372
252	4709	88369
253	4728	88343
254	4748	88360
255	4767	88342
256	4784	88300
257	4801	88257
258	4819	88212
259	4836	88169
260	4861	88273
261	4880	88252
262	4896	88198
263	4928	88414
264	4946	88384
265	4963	88341
266	4981	88308
267	4999	88268
268	5017	88240
269	5034	88201
270	5052	88164
271	5069	88125
272	5086	88079
273	5106	88081
274	5128	88122
275	5147	88104
276	5166	88083
277	5183	88049
278	5204	88074
